date,item,sales,marketing_expense,economic_indicator,competitor_pricing
3/1/2018,1,15,2715,136,94
3/2/2018,1,13,3068,119,90
3/3/2018,1,20,3145,126,94
3/4/2018,1,14,2522,112,91
3/5/2018,1,13,3656,103,93
3/6/2018,1,17,3045,121,98
3/7/2018,1,11,3708,112,90
3/8/2018,1,15,3534,103,98
3/9/2018,1,16,3710,135,90
3/10/2018,1,11,3535,129,90
3/11/2018,1,18,3522,140,90
3/12/2018,1,14,2573,100,91
3/13/2018,1,13,3722,122,95
3/14/2018,1,10,2772,109,95
3/15/2018,1,14,3605,122,90
3/16/2018,1,10,3847,119,90
3/17/2018,1,22,2962,103,92
3/18/2018,1,11,3484,101,97
3/19/2018,1,19,3682,117,91
3/20/2018,1,14,2985,111,94
3/21/2018,1,17,3173,133,92
3/22/2018,1,21,2950,137,94
3/23/2018,1,21,3565,108,98
3/24/2018,1,19,2835,100,94
3/25/2018,1,13,2767,117,92
3/26/2018,1,16,2664,134,92
3/27/2018,1,11,3791,124,91
3/28/2018,1,13,3100,111,97
3/29/2018,1,17,2823,119,93
3/30/2018,1,19,3855,125,91
3/31/2018,1,20,3570,104,96
4/1/2018,1,11,3041,102,97
4/2/2018,1,19,2673,129,93
4/3/2018,1,24,3133,119,90
4/4/2018,1,18,2824,103,98
4/5/2018,1,19,3994,103,97
4/6/2018,1,23,3344,117,96
4/7/2018,1,17,3767,123,91
4/8/2018,1,19,2529,132,91
4/9/2018,1,13,2793,131,92
4/10/2018,1,19,3207,117,90
4/11/2018,1,16,2775,104,97
4/12/2018,1,18,3222,137,94
4/13/2018,1,17,3933,120,92
4/14/2018,1,26,3572,129,90
4/15/2018,1,14,3418,104,90
4/16/2018,1,9,3250,105,96
4/17/2018,1,17,3676,111,98
4/18/2018,1,21,3598,101,98
4/19/2018,1,22,3477,138,97
4/20/2018,1,22,3817,126,94
4/21/2018,1,20,3343,119,92
4/22/2018,1,13,3045,129,91
4/23/2018,1,11,3245,107,97
4/24/2018,1,13,3994,100,95
4/25/2018,1,14,3796,106,97
4/26/2018,1,20,3689,109,92
4/27/2018,1,22,2567,134,93
4/28/2018,1,19,3216,114,92
4/29/2018,1,11,2931,128,98
4/30/2018,1,15,2774,112,90
5/1/2018,1,16,3052,139,91
5/2/2018,1,23,3377,133,92
5/3/2018,1,22,3693,121,95
5/4/2018,1,20,3670,131,97
5/5/2018,1,14,2870,111,95
5/6/2018,1,14,3309,121,96
5/7/2018,1,15,3996,125,95
5/8/2018,1,14,2871,131,98
5/9/2018,1,11,3871,127,93
5/10/2018,1,16,3498,105,93
5/11/2018,1,19,3609,139,98
5/12/2018,1,13,2754,115,94
5/13/2018,1,9,3103,121,92
5/14/2018,1,13,3737,105,90
5/15/2018,1,16,2769,114,98
5/16/2018,1,15,3186,136,98
5/17/2018,1,16,3857,107,90
5/18/2018,1,20,3592,110,97
5/19/2018,1,19,3903,133,90
5/20/2018,1,14,2736,105,94
5/21/2018,1,24,3450,126,93
5/22/2018,1,23,3352,103,91
5/23/2018,1,14,3603,139,97
5/24/2018,1,24,3526,132,98
5/25/2018,1,25,3738,132,92
5/26/2018,1,27,3723,104,92
5/27/2018,1,7,2745,127,95
5/28/2018,1,12,3507,115,98
5/29/2018,1,10,3573,100,90
5/30/2018,1,19,3442,101,94
5/31/2018,1,27,3633,119,98
6/1/2018,1,26,3117,100,90
6/2/2018,1,22,3948,124,95
6/3/2018,1,12,2935,134,91
6/4/2018,1,15,3452,125,98
6/5/2018,1,24,3367,137,95
6/6/2018,1,9,3646,128,94
6/7/2018,1,21,2886,112,93
6/8/2018,1,20,3242,108,96
6/9/2018,1,38,3817,114,90
6/10/2018,1,20,3939,113,96
6/11/2018,1,18,3733,108,96
6/12/2018,1,22,2536,126,95
6/13/2018,1,21,3955,116,96
6/14/2018,1,22,3014,133,92
6/15/2018,1,26,2935,135,96
6/16/2018,1,23,2741,136,97
6/17/2018,1,13,3892,123,96
6/18/2018,1,21,2977,130,90
6/19/2018,1,18,3012,131,97
6/20/2018,1,24,3528,114,90
6/21/2018,1,19,2562,128,93
6/22/2018,1,23,3804,104,98
6/23/2018,1,24,2525,129,98
6/24/2018,1,17,3976,101,97
6/25/2018,1,21,2597,125,95
6/26/2018,1,21,3314,119,92
6/27/2018,1,26,3194,111,91
6/28/2018,1,17,3779,139,98
6/29/2018,1,20,2674,122,95
6/30/2018,1,24,3257,135,92
7/1/2018,1,23,2728,101,94
7/2/2018,1,17,3113,115,98
7/3/2018,1,12,3668,116,90
7/4/2018,1,24,3364,120,91
7/5/2018,1,17,3765,126,95
7/6/2018,1,16,3285,127,90
7/7/2018,1,34,3505,110,96
7/8/2018,1,20,3407,117,90
7/9/2018,1,23,3899,133,92
7/10/2018,1,14,3210,123,94
7/11/2018,1,25,3504,129,93
7/12/2018,1,29,2526,125,95
7/13/2018,1,22,3891,114,91
7/14/2018,1,29,3323,102,95
7/15/2018,1,18,2574,120,96
7/16/2018,1,12,3905,109,90
7/17/2018,1,16,3780,138,95
7/18/2018,1,21,3254,113,94
7/19/2018,1,25,3626,112,91
7/20/2018,1,25,3716,124,93
7/21/2018,1,26,3053,139,95
7/22/2018,1,18,2569,100,96
7/23/2018,1,17,2782,131,94
7/24/2018,1,21,2823,138,98
7/25/2018,1,21,3103,103,91
7/26/2018,1,31,3631,128,92
7/27/2018,1,19,2609,126,93
7/28/2018,1,25,3193,101,94
7/29/2018,1,8,3408,140,95
7/30/2018,1,26,3118,120,90
7/31/2018,1,27,3424,114,93
8/1/2018,1,21,3829,138,92
8/2/2018,1,19,3809,133,95
8/3/2018,1,24,2522,134,95
8/4/2018,1,26,2794,134,95
8/5/2018,1,17,3186,107,90
8/6/2018,1,10,3230,111,96
8/7/2018,1,25,3225,124,90
8/8/2018,1,20,3981,100,96
8/9/2018,1,19,2502,140,94
8/10/2018,1,22,2604,122,92
8/11/2018,1,25,3199,111,90
8/12/2018,1,10,3002,132,96
8/13/2018,1,11,3774,125,93
8/14/2018,1,19,3767,134,90
8/15/2018,1,22,3155,128,91
8/16/2018,1,15,2691,123,94
8/17/2018,1,29,3704,140,90
8/18/2018,1,27,2612,114,97
8/19/2018,1,11,3880,100,92
8/20/2018,1,15,3035,101,97
8/21/2018,1,20,3916,116,96
8/22/2018,1,20,3009,107,95
8/23/2018,1,19,2699,137,92
8/24/2018,1,19,3518,110,94
8/25/2018,1,23,2554,113,98
8/26/2018,1,11,2519,135,96
8/27/2018,1,16,3332,129,95
8/28/2018,1,20,2801,112,90
8/29/2018,1,14,3781,139,98
8/30/2018,1,20,2935,104,98
8/31/2018,1,25,3030,125,98
9/1/2018,1,25,2796,115,90
9/2/2018,1,10,3068,101,93
9/3/2018,1,16,3572,136,96
9/4/2018,1,10,2558,135,91
9/5/2018,1,16,2891,107,96
9/6/2018,1,20,3483,116,96
9/7/2018,1,20,3555,135,90
9/8/2018,1,19,3747,139,96
9/9/2018,1,15,3835,136,92
9/10/2018,1,17,2649,133,90
9/11/2018,1,26,3924,138,95
9/12/2018,1,14,2596,138,92
9/13/2018,1,16,2538,137,92
9/14/2018,1,27,3832,130,95
9/15/2018,1,14,3111,124,97
9/16/2018,1,16,2817,128,91
9/17/2018,1,20,3243,125,95
9/18/2018,1,18,3055,123,93
9/19/2018,1,16,3228,113,90
9/20/2018,1,11,3141,129,92
9/21/2018,1,13,3145,111,95
9/22/2018,1,16,2921,106,91
9/23/2018,1,18,3181,138,91
9/24/2018,1,14,3927,113,91
9/25/2018,1,17,3754,122,95
9/26/2018,1,20,2801,133,95
9/27/2018,1,22,3821,115,94
9/28/2018,1,13,2597,107,94
9/29/2018,1,20,2853,130,97
9/30/2018,1,20,3341,140,90
10/1/2018,1,12,3361,107,94
10/2/2018,1,11,3205,102,94
10/3/2018,1,14,3836,100,91
10/4/2018,1,14,3951,132,90
10/5/2018,1,14,2632,113,95
10/6/2018,1,20,2821,121,94
10/7/2018,1,13,3356,127,97
10/8/2018,1,13,3941,132,94
10/9/2018,1,14,3029,108,95
10/10/2018,1,20,3608,119,90
10/11/2018,1,17,2774,103,92
10/12/2018,1,17,3334,125,97
10/13/2018,1,20,3767,119,93
10/14/2018,1,15,3029,110,96
10/15/2018,1,15,3564,127,97
10/16/2018,1,15,3385,134,94
10/17/2018,1,10,3877,117,93
10/18/2018,1,10,3291,100,98
10/19/2018,1,18,2680,118,94
10/20/2018,1,25,3839,124,91
10/21/2018,1,13,3602,107,94
10/22/2018,1,11,3259,115,96
10/23/2018,1,16,2521,129,90
10/24/2018,1,17,2643,139,92
10/25/2018,1,18,3987,103,97
10/26/2018,1,19,2916,139,98
10/27/2018,1,14,2757,138,91
10/28/2018,1,11,3800,103,92
10/29/2018,1,17,2516,131,95
10/30/2018,1,20,2670,129,91
10/31/2018,1,21,2531,100,90
11/1/2018,1,20,2960,125,95
11/2/2018,1,24,3195,109,96
11/3/2018,1,19,2557,139,91
11/4/2018,1,12,3885,139,93
11/5/2018,1,20,3237,109,93
11/6/2018,1,16,3544,103,97
11/7/2018,1,17,2580,134,94
11/8/2018,1,22,3780,133,91
11/9/2018,1,18,3920,137,90
11/10/2018,1,23,3169,120,94
11/11/2018,1,16,2756,134,97
11/12/2018,1,20,3922,129,94
11/13/2018,1,20,3602,128,91
11/14/2018,1,9,3603,110,92
11/15/2018,1,18,2759,116,95
11/16/2018,1,13,3356,109,96
11/17/2018,1,17,3954,118,93
11/18/2018,1,17,3259,118,96
11/19/2018,1,18,3253,105,95
11/20/2018,1,17,2837,111,90
11/21/2018,1,16,2570,115,98
11/22/2018,1,17,3568,122,96
11/23/2018,1,31,2926,134,97
11/24/2018,1,20,2808,115,97
11/25/2018,1,16,3257,104,94
11/26/2018,1,25,3433,108,91
11/27/2018,1,25,3719,118,98
11/28/2018,1,17,3553,138,92
11/29/2018,1,19,3447,119,95
11/30/2018,1,30,3799,121,90
12/1/2018,1,16,3489,137,97
12/2/2018,1,8,3539,112,94
12/3/2018,1,21,3057,116,98
12/4/2018,1,6,3743,124,94
12/5/2018,1,13,3707,137,92
12/6/2018,1,15,3371,115,92
12/7/2018,1,17,3037,110,97
12/8/2018,1,17,2624,123,95
12/9/2018,1,8,3323,125,96
12/10/2018,1,14,3299,116,97
12/11/2018,1,7,3682,139,92
12/12/2018,1,5,3235,100,94
12/13/2018,1,13,3972,111,98
12/14/2018,1,16,3212,108,95
12/15/2018,1,15,2862,107,90
12/16/2018,1,15,2641,108,98
12/17/2018,1,8,3370,107,93
12/18/2018,1,18,3250,118,97
12/19/2018,1,7,2983,129,94
12/20/2018,1,13,2803,105,96
12/21/2018,1,11,3457,133,94
12/22/2018,1,9,2583,136,94
12/23/2018,1,8,3929,135,95
12/24/2018,1,17,3113,132,90
12/25/2018,1,6,3967,123,93
12/26/2018,1,16,3161,114,94
12/27/2018,1,18,3638,110,97
12/28/2018,1,17,2867,106,92
12/29/2018,1,14,3959,129,94
12/30/2018,1,5,3207,136,93
12/31/2018,1,15,3225,137,92
1/1/2019,1,9,3645,127,93
1/2/2019,1,14,2790,133,93
1/3/2019,1,11,2846,122,97
1/4/2019,1,20,3970,123,97
1/5/2019,1,17,3259,139,97
1/6/2019,1,14,2889,121,97
1/7/2019,1,11,3572,124,90
1/8/2019,1,12,3377,123,93
1/9/2019,1,17,3843,140,95
1/10/2019,1,12,3335,100,98
1/11/2019,1,17,2792,120,92
1/12/2019,1,12,3530,125,96
1/13/2019,1,12,2654,109,95
1/14/2019,1,17,3079,126,98
1/15/2019,1,17,3408,140,93
1/16/2019,1,15,3275,116,92
1/17/2019,1,18,2914,124,91
1/18/2019,1,15,2765,111,98
1/19/2019,1,12,3022,126,93
1/20/2019,1,6,2603,114,96
1/21/2019,1,7,3943,123,93
1/22/2019,1,21,2742,106,91
1/23/2019,1,18,3751,138,92
1/24/2019,1,18,3714,129,96
1/25/2019,1,21,3480,103,96
1/26/2019,1,16,3441,136,91
1/27/2019,1,8,3944,117,91
1/28/2019,1,6,3985,114,93
1/29/2019,1,13,3879,120,93
1/30/2019,1,11,3022,106,93
1/31/2019,1,18,2928,122,98
2/1/2019,1,13,3840,135,92
2/2/2019,1,16,3105,117,90
2/3/2019,1,10,3433,114,92
2/4/2019,1,9,3023,110,96
2/5/2019,1,21,3954,102,93
2/6/2019,1,17,3655,117,93
2/7/2019,1,15,2601,136,95
2/8/2019,1,15,2867,108,92
2/9/2019,1,18,2790,103,97
2/10/2019,1,10,3389,120,95
2/11/2019,1,10,3258,121,93
2/12/2019,1,9,3026,101,92
2/13/2019,1,22,3984,134,94
2/14/2019,1,20,3328,111,95
2/15/2019,1,20,2886,106,93
2/16/2019,1,13,2740,108,98
2/17/2019,1,11,2657,118,96
2/18/2019,1,11,2604,136,94
2/19/2019,1,16,3356,100,96
2/20/2019,1,19,2534,123,95
2/21/2019,1,16,3581,127,96
2/22/2019,1,17,3493,115,94
2/23/2019,1,13,3700,122,98
2/24/2019,1,7,2586,108,95
2/25/2019,1,14,3105,115,94
2/26/2019,1,17,2754,125,95
2/27/2019,1,10,3515,136,91
2/28/2019,1,16,3527,132,91
3/1/2019,1,20,3199,121,95
3/2/2019,1,15,3089,107,94
3/3/2019,1,12,2813,100,90
3/4/2019,1,11,2806,135,98
3/5/2019,1,18,2954,129,96
3/6/2019,1,19,2835,103,94
3/7/2019,1,21,3982,118,94
3/8/2019,1,14,2553,122,95
3/9/2019,1,21,3693,133,98
3/10/2019,1,13,3949,109,97
3/11/2019,1,14,3423,127,92
3/12/2019,1,24,3232,115,96
3/13/2019,1,17,3492,126,98
3/14/2019,1,16,3275,116,92
3/15/2019,1,22,3687,127,94
3/16/2019,1,31,3690,111,91
3/17/2019,1,19,3297,101,97
3/18/2019,1,17,2509,131,98
3/19/2019,1,24,3266,106,94
3/20/2019,1,21,3169,104,95
3/21/2019,1,18,2525,106,96
3/22/2019,1,20,3067,111,94
3/23/2019,1,25,3085,131,90
3/24/2019,1,4,3240,102,94
3/25/2019,1,15,3853,119,98
3/26/2019,1,17,3063,139,92
3/27/2019,1,17,3445,116,90
3/28/2019,1,16,2641,116,94
3/29/2019,1,18,2539,107,93
3/30/2019,1,15,3917,106,91
3/31/2019,1,15,2992,120,96
4/1/2019,1,19,3091,140,94
4/2/2019,1,11,3741,132,96
4/3/2019,1,16,2856,115,92
4/4/2019,1,17,2662,104,93
4/5/2019,1,21,3497,133,90
4/6/2019,1,26,2665,111,98
4/7/2019,1,19,3952,127,96
4/8/2019,1,19,2701,103,98
4/9/2019,1,20,3417,126,91
4/10/2019,1,18,2861,117,98
4/11/2019,1,23,3894,139,97
4/12/2019,1,19,3839,112,93
4/13/2019,1,22,3933,108,90
4/14/2019,1,20,3675,132,97
4/15/2019,1,22,3081,119,95
4/16/2019,1,20,3704,114,96
4/17/2019,1,18,3596,110,95
4/18/2019,1,20,3671,109,98
4/19/2019,1,22,3407,131,93
4/20/2019,1,22,3129,131,97
4/21/2019,1,17,3927,133,93
4/22/2019,1,12,2673,113,98
4/23/2019,1,16,3119,114,96
4/24/2019,1,25,3272,114,94
4/25/2019,1,22,3298,103,90
4/26/2019,1,21,3683,131,98
4/27/2019,1,20,3125,130,95
4/28/2019,1,15,2847,100,98
4/29/2019,1,18,2977,100,97
4/30/2019,1,13,3986,135,97
5/1/2019,1,22,3636,100,91
5/2/2019,1,19,3766,124,95
5/3/2019,1,22,3276,120,91
5/4/2019,1,23,3350,119,92
5/5/2019,1,21,3319,111,98
5/6/2019,1,19,3199,111,96
5/7/2019,1,21,2675,116,90
5/8/2019,1,15,2782,115,98
5/9/2019,1,18,3872,104,90
5/10/2019,1,16,3780,125,92
5/11/2019,1,27,3945,125,91
5/12/2019,1,16,3984,113,94
5/13/2019,1,22,2652,119,91
5/14/2019,1,21,3776,102,91
5/15/2019,1,22,3433,127,97
5/16/2019,1,23,2643,108,90
5/17/2019,1,18,2691,128,97
5/18/2019,1,36,3149,110,90
5/19/2019,1,12,2871,118,92
5/20/2019,1,23,3541,133,90
5/21/2019,1,16,3211,140,97
5/22/2019,1,25,3738,109,96
5/23/2019,1,28,3761,119,94
5/24/2019,1,25,3962,103,90
5/25/2019,1,20,2912,132,95
5/26/2019,1,15,3812,136,93
5/27/2019,1,13,2750,126,94
5/28/2019,1,13,3034,140,96
5/29/2019,1,20,3641,101,90
5/30/2019,1,29,3747,118,90
5/31/2019,1,31,2574,112,95
6/1/2019,1,24,3129,125,97
6/2/2019,1,16,3086,110,95
6/3/2019,1,23,3688,128,94
6/4/2019,1,20,3737,116,95
6/5/2019,1,24,3079,135,93
6/6/2019,1,23,3045,105,96
6/7/2019,1,27,3126,109,90
6/8/2019,1,29,3253,123,98
6/9/2019,1,18,3087,105,95
6/10/2019,1,14,3234,123,97
6/11/2019,1,22,3544,107,90
6/12/2019,1,22,3981,134,96
6/13/2019,1,25,3289,110,90
6/14/2019,1,29,3426,104,96
6/15/2019,1,33,3665,129,93
6/16/2019,1,25,2531,134,92
6/17/2019,1,32,3159,136,93
6/18/2019,1,20,3629,116,90
6/19/2019,1,22,3887,127,93
6/20/2019,1,19,3518,112,94
6/21/2019,1,26,3086,118,91
6/22/2019,1,37,3379,137,93
6/23/2019,1,19,3935,124,91
6/24/2019,1,24,3046,119,97
6/25/2019,1,21,2620,119,96
6/26/2019,1,18,2533,100,92
6/27/2019,1,29,3155,112,96
6/28/2019,1,34,3168,103,91
6/29/2019,1,19,3257,103,92
6/30/2019,1,16,3986,124,91
7/1/2019,1,16,2979,103,98
7/2/2019,1,24,3810,115,92
7/3/2019,1,25,2631,114,94
7/4/2019,1,28,3950,130,91
7/5/2019,1,25,3488,140,91
7/6/2019,1,34,3276,124,94
7/7/2019,1,16,3506,111,98
7/8/2019,1,25,3434,126,98
7/9/2019,1,27,2777,100,98
7/10/2019,1,23,3785,124,96
7/11/2019,1,25,3106,133,97
7/12/2019,1,22,3258,112,94
7/13/2019,1,24,3198,113,92
7/14/2019,1,21,3650,124,91
7/15/2019,1,24,3286,138,92
7/16/2019,1,17,3190,102,91
7/17/2019,1,26,2614,129,93
7/18/2019,1,25,3898,121,93
7/19/2019,1,31,3027,139,92
7/20/2019,1,26,3441,110,91
7/21/2019,1,21,2674,139,90
7/22/2019,1,30,3602,133,93
7/23/2019,1,19,2677,126,91
7/24/2019,1,26,3024,125,96
7/25/2019,1,24,3182,117,98
7/26/2019,1,29,3652,137,95
7/27/2019,1,35,2796,134,90
7/28/2019,1,11,3410,130,98
7/29/2019,1,19,2774,101,96
7/30/2019,1,25,3450,138,98
7/31/2019,1,23,3390,133,98
8/1/2019,1,12,3376,131,95
8/2/2019,1,23,3583,117,93
8/3/2019,1,27,3367,108,90
8/4/2019,1,20,2579,134,92
8/5/2019,1,19,2885,111,96
8/6/2019,1,25,3167,117,98
8/7/2019,1,21,3994,101,97
8/8/2019,1,27,3817,120,91
8/9/2019,1,27,3671,133,97
8/10/2019,1,22,3806,110,95
8/11/2019,1,22,2614,102,94
8/12/2019,1,20,3785,131,97
8/13/2019,1,11,3844,104,96
8/14/2019,1,17,3852,116,98
8/15/2019,1,21,3195,134,92
8/16/2019,1,20,2870,101,90
8/17/2019,1,31,3972,101,91
8/18/2019,1,25,3940,113,90
8/19/2019,1,15,3164,134,92
8/20/2019,1,21,2664,109,91
8/21/2019,1,20,3360,123,91
8/22/2019,1,21,2673,138,96
8/23/2019,1,26,3894,107,93
8/24/2019,1,26,3670,138,97
8/25/2019,1,12,2503,101,96
8/26/2019,1,25,2773,118,90
8/27/2019,1,21,3264,133,96
8/28/2019,1,19,2751,137,91
8/29/2019,1,17,3273,130,98
8/30/2019,1,30,3633,132,93
8/31/2019,1,28,3075,116,90
9/1/2019,1,16,3169,105,93
9/2/2019,1,15,3610,136,91
9/3/2019,1,22,3718,109,92
9/4/2019,1,26,2597,108,97
9/5/2019,1,27,2884,123,92
9/6/2019,1,21,3767,118,95
9/7/2019,1,25,2978,100,97
9/8/2019,1,12,2834,109,96
9/9/2019,1,22,3636,124,92
9/10/2019,1,16,3057,116,95
9/11/2019,1,15,3368,105,91
9/12/2019,1,25,3149,133,93
9/13/2019,1,17,3027,127,98
9/14/2019,1,26,3495,100,97
9/15/2019,1,12,2713,101,91
9/16/2019,1,15,3712,115,91
9/17/2019,1,17,3574,133,94
9/18/2019,1,18,2637,137,96
9/19/2019,1,21,2847,101,90
9/20/2019,1,21,3107,118,95
9/21/2019,1,20,3075,109,93
9/22/2019,1,15,3199,104,97
9/23/2019,1,20,3701,124,92
9/24/2019,1,14,3837,102,96
9/25/2019,1,17,2863,124,97
9/26/2019,1,23,3789,119,90
9/27/2019,1,13,2747,100,95
9/28/2019,1,22,3459,134,96
9/29/2019,1,18,3471,137,93
9/30/2019,1,15,3883,139,93
10/1/2019,1,12,3043,116,93
10/2/2019,1,15,3224,140,90
10/3/2019,1,24,2621,110,92
10/4/2019,1,27,3453,127,90
10/5/2019,1,33,3814,123,93
10/6/2019,1,9,3701,103,91
10/7/2019,1,10,2503,104,92
10/8/2019,1,25,3931,116,95
10/9/2019,1,18,3236,109,98
10/10/2019,1,19,3684,116,91
10/11/2019,1,28,3092,129,92
10/12/2019,1,29,3034,124,95
10/13/2019,1,6,2601,136,95
10/14/2019,1,20,2613,116,94
10/15/2019,1,21,2927,103,91
10/16/2019,1,17,3522,124,92
10/17/2019,1,18,3857,127,90
10/18/2019,1,22,3022,139,93
10/19/2019,1,13,2614,101,90
10/20/2019,1,8,3272,122,94
10/21/2019,1,19,3871,129,90
10/22/2019,1,14,2956,116,91
10/23/2019,1,18,3760,105,95
10/24/2019,1,17,2593,131,92
10/25/2019,1,21,3343,102,91
10/26/2019,1,22,2953,129,95
10/27/2019,1,15,3140,140,90
10/28/2019,1,12,2682,138,97
10/29/2019,1,11,3431,130,97
10/30/2019,1,12,3982,104,90
10/31/2019,1,20,3567,113,91
11/1/2019,1,17,2801,135,94
11/2/2019,1,33,3490,112,95
11/3/2019,1,16,3355,123,94
11/4/2019,1,16,3699,125,97
11/5/2019,1,15,3909,107,93
11/6/2019,1,22,2723,112,96
11/7/2019,1,22,3396,105,95
11/8/2019,1,12,3933,120,98
11/9/2019,1,28,3374,110,90
11/10/2019,1,16,3761,124,96
11/11/2019,1,12,3684,115,91
11/12/2019,1,18,3672,111,90
11/13/2019,1,18,3078,110,96
11/14/2019,1,25,2927,138,94
11/15/2019,1,24,3468,107,94
11/16/2019,1,18,3846,120,95
11/17/2019,1,17,2708,109,95
11/18/2019,1,18,3136,105,93
11/19/2019,1,19,3308,127,91
11/20/2019,1,17,3020,116,93
11/21/2019,1,28,3056,123,95
11/22/2019,1,20,2649,111,94
11/23/2019,1,29,2725,117,96
11/24/2019,1,18,2862,103,97
11/25/2019,1,19,3621,129,91
11/26/2019,1,23,3365,106,91
11/27/2019,1,23,3388,127,92
11/28/2019,1,24,2958,136,93
11/29/2019,1,28,3938,105,90
11/30/2019,1,24,3717,140,93
12/1/2019,1,10,3636,105,92
12/2/2019,1,17,2530,112,93
12/3/2019,1,9,3312,105,98
12/4/2019,1,10,3721,116,98
12/5/2019,1,14,2909,140,98
12/6/2019,1,16,3732,103,93
12/7/2019,1,11,3760,114,97
12/8/2019,1,13,2538,130,91
12/9/2019,1,13,3506,112,95
12/10/2019,1,14,2739,129,93
12/11/2019,1,12,2939,117,98
12/12/2019,1,10,3851,117,98
12/13/2019,1,16,2940,136,93
12/14/2019,1,13,3967,118,97
12/15/2019,1,14,3126,127,92
12/16/2019,1,11,3811,104,93
12/17/2019,1,15,2562,118,97
12/18/2019,1,10,3886,110,97
12/19/2019,1,11,3419,127,90
12/20/2019,1,19,3546,113,97
12/21/2019,1,18,3764,114,92
12/22/2019,1,8,3833,101,98
12/23/2019,1,13,2888,101,98
12/24/2019,1,16,2740,137,90
12/25/2019,1,20,3514,138,98
12/26/2019,1,12,3234,132,92
12/27/2019,1,15,3231,113,98
12/28/2019,1,17,3181,126,98
12/29/2019,1,9,3513,109,90
12/30/2019,1,11,3278,120,91
12/31/2019,1,12,3728,112,93
1/1/2020,1,11,3857,101,90
1/2/2020,1,19,3957,114,97
1/3/2020,1,16,3999,125,91
1/4/2020,1,14,2780,134,94
1/5/2020,1,14,3971,104,93
1/6/2020,1,9,2883,128,95
1/7/2020,1,13,3630,109,92
1/8/2020,1,18,3994,121,90
1/9/2020,1,18,2816,101,98
1/10/2020,1,17,3665,108,92
1/11/2020,1,19,2593,124,98
1/12/2020,1,9,3242,112,92
1/13/2020,1,9,2894,103,95
1/14/2020,1,15,3988,105,95
1/15/2020,1,10,3506,137,95
1/16/2020,1,15,2883,115,98
1/17/2020,1,16,3441,110,96
1/18/2020,1,15,2546,139,98
1/19/2020,1,12,3113,127,93
1/20/2020,1,12,3507,105,98
1/21/2020,1,10,2726,133,95
1/22/2020,1,8,3188,123,93
1/23/2020,1,14,3909,129,90
1/24/2020,1,20,3951,140,93
1/25/2020,1,19,2697,122,98
1/26/2020,1,12,2539,109,93
1/27/2020,1,13,3865,123,93
1/28/2020,1,13,2504,111,97
1/29/2020,1,7,2742,101,98
1/30/2020,1,12,3642,104,97
1/31/2020,1,19,2959,135,93
2/1/2020,1,17,3369,137,91
2/2/2020,1,6,2936,106,90
2/3/2020,1,10,3435,113,90
2/4/2020,1,8,3942,123,91
2/5/2020,1,18,3045,115,98
2/6/2020,1,13,2755,106,92
2/7/2020,1,13,3484,125,90
2/8/2020,1,18,2863,106,94
2/9/2020,1,12,3159,103,90
2/10/2020,1,15,3671,116,91
2/11/2020,1,19,3913,107,94
2/12/2020,1,15,2890,128,95
2/13/2020,1,13,3608,136,97
