date,warehouse,item,units,sales
10/10/2018,1,1,20,1400
10/11/2018,1,1,17,1190
10/12/2018,1,1,17,1190
10/13/2018,1,1,20,1400
10/14/2018,1,1,15,1050
10/15/2018,1,1,15,1050
10/16/2018,1,1,15,1050
10/17/2018,1,1,10,700
10/18/2018,1,1,10,700
10/19/2018,1,1,18,1260
10/20/2018,1,1,25,1750
10/21/2018,1,1,13,910
10/22/2018,1,1,11,770
10/23/2018,1,1,16,1120
10/24/2018,1,1,17,1190
10/25/2018,1,1,18,1260
10/26/2018,1,1,19,1330
10/27/2018,1,1,14,980
10/28/2018,1,1,11,770
10/29/2018,1,1,17,1190
10/30/2018,1,1,20,1400
10/31/2018,1,1,21,1470
11/1/2018,1,1,20,1400
11/2/2018,1,1,24,1680
11/3/2018,1,1,19,1330
11/4/2018,1,1,12,840
11/5/2018,1,1,20,1400
11/6/2018,1,1,16,1120
11/7/2018,1,1,17,1190
11/8/2018,1,1,22,1540
11/9/2018,1,1,18,1260
11/10/2018,1,1,23,1610
11/11/2018,1,1,16,1120
11/12/2018,1,1,20,1400
11/13/2018,1,1,20,1400
11/14/2018,1,1,9,630
11/15/2018,1,1,18,1260
11/16/2018,1,1,13,910
11/17/2018,1,1,17,1190
11/18/2018,1,1,17,1190
11/19/2018,1,1,18,1260
11/20/2018,1,1,17,1190
11/21/2018,1,1,16,1120
11/22/2018,1,1,17,1190
11/23/2018,1,1,31,2170
11/24/2018,1,1,20,1400
11/25/2018,1,1,16,1120
11/26/2018,1,1,25,1750
11/27/2018,1,1,25,1750
11/28/2018,1,1,17,1190
11/29/2018,1,1,19,1330
11/30/2018,1,1,30,2100
12/1/2018,1,1,16,1120
12/2/2018,1,1,8,560
12/3/2018,1,1,21,1470
12/4/2018,1,1,6,420
12/5/2018,1,1,13,910
12/6/2018,1,1,15,1050
12/7/2018,1,1,17,1190
12/8/2018,1,1,17,1190
12/9/2018,1,1,8,560
12/10/2018,1,1,14,980
12/11/2018,1,1,7,490
12/12/2018,1,1,5,350
12/13/2018,1,1,13,910
12/14/2018,1,1,16,1120
12/15/2018,1,1,15,1050
12/16/2018,1,1,15,1050
12/17/2018,1,1,8,560
12/18/2018,1,1,18,1260
12/19/2018,1,1,7,490
12/20/2018,1,1,13,910
12/21/2018,1,1,11,770
12/22/2018,1,1,9,630
12/23/2018,1,1,8,560
12/24/2018,1,1,17,1190
12/25/2018,1,1,6,420
12/26/2018,1,1,16,1120
12/27/2018,1,1,18,1260
12/28/2018,1,1,17,1190
12/29/2018,1,1,14,980
12/30/2018,1,1,5,350
12/31/2018,1,1,15,1050
1/1/2019,1,1,9,630
1/2/2019,1,1,14,980
1/3/2019,1,1,11,770
1/4/2019,1,1,20,1400
1/5/2019,1,1,17,1190
1/6/2019,1,1,14,980
1/7/2019,1,1,11,770
1/8/2019,1,1,12,840
1/9/2019,1,1,17,1190
1/10/2019,1,1,12,840
1/11/2019,1,1,17,1190
1/12/2019,1,1,12,840
1/13/2019,1,1,12,840
1/14/2019,1,1,17,1190
1/15/2019,1,1,17,1190
1/16/2019,1,1,15,1050
1/17/2019,1,1,18,1260
1/18/2019,1,1,15,1050
1/19/2019,1,1,12,840
1/20/2019,1,1,6,420
1/21/2019,1,1,7,490
1/22/2019,1,1,21,1470
1/23/2019,1,1,18,1260
1/24/2019,1,1,18,1260
1/25/2019,1,1,21,1470
1/26/2019,1,1,16,1120
1/27/2019,1,1,8,560
1/28/2019,1,1,6,420
1/29/2019,1,1,13,910
1/30/2019,1,1,11,770
1/31/2019,1,1,18,1260
2/1/2019,1,1,13,910
2/2/2019,1,1,16,1120
2/3/2019,1,1,10,700
2/4/2019,1,1,9,630
2/5/2019,1,1,21,1470
2/6/2019,1,1,17,1190
2/7/2019,1,1,15,1050
2/8/2019,1,1,15,1050
2/9/2019,1,1,18,1260
2/10/2019,1,1,10,700
2/11/2019,1,1,10,700
2/12/2019,1,1,9,630
2/13/2019,1,1,22,1540
2/14/2019,1,1,20,1400
2/15/2019,1,1,20,1400
2/16/2019,1,1,13,910
2/17/2019,1,1,11,770
2/18/2019,1,1,11,770
2/19/2019,1,1,16,1120
2/20/2019,1,1,19,1330
2/21/2019,1,1,16,1120
2/22/2019,1,1,17,1190
2/23/2019,1,1,13,910
2/24/2019,1,1,7,490
2/25/2019,1,1,14,980
2/26/2019,1,1,17,1190
2/27/2019,1,1,10,700
2/28/2019,1,1,16,1120
3/1/2019,1,1,20,1400
3/2/2019,1,1,15,1050
3/3/2019,1,1,12,840
3/4/2019,1,1,11,770
3/5/2019,1,1,18,1260
3/6/2019,1,1,19,1330
3/7/2019,1,1,21,1470
3/8/2019,1,1,14,980
3/9/2019,1,1,21,1470
3/10/2019,1,1,13,910
3/11/2019,1,1,14,980
3/12/2019,1,1,24,1680
3/13/2019,1,1,17,1190
3/14/2019,1,1,16,1120
3/15/2019,1,1,22,1540
3/16/2019,1,1,31,2170
3/17/2019,1,1,19,1330
3/18/2019,1,1,17,1190
3/19/2019,1,1,24,1680
3/20/2019,1,1,21,1470
3/21/2019,1,1,18,1260
3/22/2019,1,1,20,1400
3/23/2019,1,1,25,1750
3/24/2019,1,1,4,280
3/25/2019,1,1,15,1050
3/26/2019,1,1,17,1190
3/27/2019,1,1,17,1190
3/28/2019,1,1,16,1120
3/29/2019,1,1,18,1260
3/30/2019,1,1,15,1050
3/31/2019,1,1,15,1050
4/1/2019,1,1,19,1330
4/2/2019,1,1,11,770
4/3/2019,1,1,16,1120
4/4/2019,1,1,17,1190
4/5/2019,1,1,21,1470
4/6/2019,1,1,26,1820
4/7/2019,1,1,19,1330
4/8/2019,1,1,19,1330
4/9/2019,1,1,20,1400
4/10/2019,1,1,18,1260
4/11/2019,1,1,23,1610
4/12/2019,1,1,19,1330
4/13/2019,1,1,22,1540
4/14/2019,1,1,20,1400
4/15/2019,1,1,22,1540
4/16/2019,1,1,20,1400
4/17/2019,1,1,18,1260
4/18/2019,1,1,20,1400
4/19/2019,1,1,22,1540
4/20/2019,1,1,22,1540
4/21/2019,1,1,17,1190
4/22/2019,1,1,12,840
4/23/2019,1,1,16,1120
4/24/2019,1,1,25,1750
4/25/2019,1,1,22,1540
4/26/2019,1,1,21,1470
4/27/2019,1,1,20,1400
4/28/2019,1,1,15,1050
4/29/2019,1,1,18,1260
4/30/2019,1,1,13,910
5/1/2019,1,1,22,1540
5/2/2019,1,1,19,1330
5/3/2019,1,1,22,1540
5/4/2019,1,1,23,1610
5/5/2019,1,1,21,1470
5/6/2019,1,1,19,1330
5/7/2019,1,1,21,1470
5/8/2019,1,1,15,1050
5/9/2019,1,1,18,1260
5/10/2019,1,1,16,1120
5/11/2019,1,1,27,1890
5/12/2019,1,1,16,1120
5/13/2019,1,1,22,1540
5/14/2019,1,1,21,1470
5/15/2019,1,1,22,1540
5/16/2019,1,1,23,1610
5/17/2019,1,1,18,1260
5/18/2019,1,1,36,2520
5/19/2019,1,1,12,840
5/20/2019,1,1,23,1610
5/21/2019,1,1,16,1120
5/22/2019,1,1,25,1750
5/23/2019,1,1,28,1960
5/24/2019,1,1,25,1750
5/25/2019,1,1,20,1400
5/26/2019,1,1,15,1050
5/27/2019,1,1,13,910
5/28/2019,1,1,13,910
5/29/2019,1,1,20,1400
5/30/2019,1,1,29,2030
5/31/2019,1,1,31,2170
6/1/2019,1,1,24,1680
6/2/2019,1,1,16,1120
6/3/2019,1,1,23,1610
6/4/2019,1,1,20,1400
6/5/2019,1,1,24,1680
6/6/2019,1,1,23,1610
6/7/2019,1,1,27,1890
6/8/2019,1,1,29,2030
6/9/2019,1,1,18,1260
6/10/2019,1,1,14,980
6/11/2019,1,1,22,1540
6/12/2019,1,1,22,1540
6/13/2019,1,1,25,1750
6/14/2019,1,1,29,2030
6/15/2019,1,1,33,2310
6/16/2019,1,1,25,1750
6/17/2019,1,1,32,2240
6/18/2019,1,1,20,1400
6/19/2019,1,1,22,1540
6/20/2019,1,1,19,1330
6/21/2019,1,1,26,1820
6/22/2019,1,1,37,2590
6/23/2019,1,1,19,1330
6/24/2019,1,1,24,1680
6/25/2019,1,1,21,1470
6/26/2019,1,1,18,1260
6/27/2019,1,1,29,2030
6/28/2019,1,1,34,2380
6/29/2019,1,1,19,1330
6/30/2019,1,1,16,1120
7/1/2019,1,1,16,1120
7/2/2019,1,1,24,1680
7/3/2019,1,1,25,1750
7/4/2019,1,1,28,1960
7/5/2019,1,1,25,1750
7/6/2019,1,1,34,2380
7/7/2019,1,1,16,1120
7/8/2019,1,1,25,1750
7/9/2019,1,1,27,1890
7/10/2019,1,1,23,1610
7/11/2019,1,1,25,1750
7/12/2019,1,1,22,1540
7/13/2019,1,1,24,1680
7/14/2019,1,1,21,1470
7/15/2019,1,1,24,1680
7/16/2019,1,1,17,1190
7/17/2019,1,1,26,1820
7/18/2019,1,1,25,1750
7/19/2019,1,1,31,2170
7/20/2019,1,1,26,1820
7/21/2019,1,1,21,1470
7/22/2019,1,1,30,2100
7/23/2019,1,1,19,1330
7/24/2019,1,1,26,1820
7/25/2019,1,1,24,1680
7/26/2019,1,1,29,2030
7/27/2019,1,1,35,2450
7/28/2019,1,1,11,770
7/29/2019,1,1,19,1330
7/30/2019,1,1,25,1750
7/31/2019,1,1,23,1610
8/1/2019,1,1,12,840
8/2/2019,1,1,23,1610
8/3/2019,1,1,27,1890
8/4/2019,1,1,20,1400
8/5/2019,1,1,19,1330
8/6/2019,1,1,25,1750
8/7/2019,1,1,21,1470
8/8/2019,1,1,27,1890
8/9/2019,1,1,27,1890
8/10/2019,1,1,22,1540
8/11/2019,1,1,22,1540
8/12/2019,1,1,20,1400
8/13/2019,1,1,11,770
8/14/2019,1,1,17,1190
8/15/2019,1,1,21,1470
8/16/2019,1,1,20,1400
8/17/2019,1,1,31,2170
8/18/2019,1,1,25,1750
8/19/2019,1,1,15,1050
8/20/2019,1,1,21,1470
8/21/2019,1,1,20,1400
8/22/2019,1,1,21,1470
8/23/2019,1,1,26,1820
8/24/2019,1,1,26,1820
8/25/2019,1,1,12,840
8/26/2019,1,1,25,1750
8/27/2019,1,1,21,1470
8/28/2019,1,1,19,1330
8/29/2019,1,1,17,1190
8/30/2019,1,1,30,2100
8/31/2019,1,1,28,1960
9/1/2019,1,1,16,1120
9/2/2019,1,1,15,1050
9/3/2019,1,1,22,1540
9/4/2019,1,1,26,1820
9/5/2019,1,1,27,1890
9/6/2019,1,1,21,1470
9/7/2019,1,1,25,1750
9/8/2019,1,1,12,840
9/9/2019,1,1,22,1540
9/10/2019,1,1,16,1120
9/11/2019,1,1,15,1050
9/12/2019,1,1,25,1750
9/13/2019,1,1,17,1190
9/14/2019,1,1,26,1820
9/15/2019,1,1,12,840
9/16/2019,1,1,15,1050
9/17/2019,1,1,17,1190
9/18/2019,1,1,18,1260
9/19/2019,1,1,21,1470
9/20/2019,1,1,21,1470
9/21/2019,1,1,20,1400
9/22/2019,1,1,15,1050
9/23/2019,1,1,20,1400
9/24/2019,1,1,14,980
9/25/2019,1,1,17,1190
9/26/2019,1,1,23,1610
9/27/2019,1,1,13,910
9/28/2019,1,1,22,1540
9/29/2019,1,1,18,1260
9/30/2019,1,1,15,1050
10/1/2019,1,1,12,840
10/2/2019,1,1,15,1050
10/3/2019,1,1,24,1680
10/4/2019,1,1,27,1890
10/5/2019,1,1,33,2310
10/6/2019,1,1,9,630
10/7/2019,1,1,10,700
10/8/2019,1,1,25,1750
10/9/2019,1,1,18,1260
10/10/2019,1,1,19,1330
10/11/2019,1,1,28,1960
10/12/2019,1,1,29,2030
10/13/2019,1,1,6,420
10/14/2019,1,1,20,1400
10/15/2019,1,1,21,1470
10/16/2019,1,1,17,1190
10/17/2019,1,1,18,1260
10/18/2019,1,1,22,1540
10/19/2019,1,1,13,910
10/20/2019,1,1,8,560
10/21/2019,1,1,19,1330
10/22/2019,1,1,14,980
10/23/2019,1,1,18,1260
10/24/2019,1,1,17,1190
10/25/2019,1,1,21,1470
10/26/2019,1,1,22,1540
10/27/2019,1,1,15,1050
10/28/2019,1,1,12,840
10/29/2019,1,1,11,770
10/30/2019,1,1,12,840
10/31/2019,1,1,20,1400
11/1/2019,1,1,17,1190
11/2/2019,1,1,33,2310
11/3/2019,1,1,16,1120
11/4/2019,1,1,16,1120
11/5/2019,1,1,15,1050
11/6/2019,1,1,22,1540
11/7/2019,1,1,22,1540
11/8/2019,1,1,12,840
11/9/2019,1,1,28,1960
11/10/2019,1,1,16,1120
11/11/2019,1,1,12,840
11/12/2019,1,1,18,1260
11/13/2019,1,1,18,1260
11/14/2019,1,1,25,1750
11/15/2019,1,1,24,1680
11/16/2019,1,1,18,1260
11/17/2019,1,1,17,1190
11/18/2019,1,1,18,1260
11/19/2019,1,1,19,1330
11/20/2019,1,1,17,1190
11/21/2019,1,1,28,1960
11/22/2019,1,1,20,1400
11/23/2019,1,1,29,2030
11/24/2019,1,1,18,1260
11/25/2019,1,1,19,1330
11/26/2019,1,1,23,1610
11/27/2019,1,1,23,1610
11/28/2019,1,1,24,1680
11/29/2019,1,1,28,1960
11/30/2019,1,1,24,1680
12/1/2019,1,1,10,700
12/2/2019,1,1,17,1190
12/3/2019,1,1,9,630
12/4/2019,1,1,10,700
12/5/2019,1,1,14,980
12/6/2019,1,1,16,1120
12/7/2019,1,1,11,770
12/8/2019,1,1,13,910
12/9/2019,1,1,13,910
12/10/2019,1,1,14,980
12/11/2019,1,1,12,840
12/12/2019,1,1,10,700
12/13/2019,1,1,16,1120
12/14/2019,1,1,13,910
12/15/2019,1,1,14,980
12/16/2019,1,1,11,770
12/17/2019,1,1,15,1050
12/18/2019,1,1,10,700
12/19/2019,1,1,11,770
12/20/2019,1,1,19,1330
12/21/2019,1,1,18,1260
12/22/2019,1,1,8,560
12/23/2019,1,1,13,910
12/24/2019,1,1,16,1120
12/25/2019,1,1,20,1400
12/26/2019,1,1,12,840
12/27/2019,1,1,15,1050
12/28/2019,1,1,17,1190
12/29/2019,1,1,9,630
12/30/2019,1,1,11,770
12/31/2019,1,1,12,840
1/1/2020,1,1,11,770
1/2/2020,1,1,19,1330
1/3/2020,1,1,16,1120
1/4/2020,1,1,14,980
1/5/2020,1,1,14,980
1/6/2020,1,1,9,630
1/7/2020,1,1,13,910
1/8/2020,1,1,18,1260
1/9/2020,1,1,18,1260
1/10/2020,1,1,17,1190
1/11/2020,1,1,19,1330
1/12/2020,1,1,9,630
1/13/2020,1,1,9,630
1/14/2020,1,1,15,1050
1/15/2020,1,1,10,700
1/16/2020,1,1,15,1050
1/17/2020,1,1,16,1120
1/18/2020,1,1,15,1050
1/19/2020,1,1,12,840
1/20/2020,1,1,12,840
1/21/2020,1,1,10,700
1/22/2020,1,1,8,560
1/23/2020,1,1,14,980
1/24/2020,1,1,20,1400
1/25/2020,1,1,19,1330
1/26/2020,1,1,12,840
1/27/2020,1,1,13,910
1/28/2020,1,1,13,910
1/29/2020,1,1,7,490
1/30/2020,1,1,12,840
1/31/2020,1,1,19,1330
2/1/2020,1,1,17,1190
2/2/2020,1,1,6,420
2/3/2020,1,1,10,700
2/4/2020,1,1,8,560
2/5/2020,1,1,18,1260
2/6/2020,1,1,13,910
2/7/2020,1,1,13,910
2/8/2020,1,1,18,1260
2/9/2020,1,1,12,840
2/10/2020,1,1,15,1050
2/11/2020,1,1,19,1330
2/12/2020,1,1,15,1050
2/13/2020,1,1,13,910
2/14/2020,1,1,11,770
2/15/2020,1,1,18,1260
2/16/2020,1,1,14,980
2/17/2020,1,1,16,1120
2/18/2020,1,1,16,1120
2/19/2020,1,1,11,770
2/20/2020,1,1,10,700
2/21/2020,1,1,19,1330
2/22/2020,1,1,24,1680
2/23/2020,1,1,9,630
2/24/2020,1,1,8,560
2/25/2020,1,1,13,910
2/26/2020,1,1,18,1260
2/27/2020,1,1,17,1190
2/28/2020,1,1,18,1260
3/1/2020,1,1,18,1260
3/2/2020,1,1,17,1190
3/3/2020,1,1,14,980
3/4/2020,1,1,19,1330
3/5/2020,1,1,10,700
3/6/2020,1,1,17,1190
3/7/2020,1,1,16,1120
3/8/2020,1,1,13,910
3/9/2020,1,1,13,910
3/10/2020,1,1,23,1610
3/11/2020,1,1,21,1470
3/12/2020,1,1,24,1680
3/13/2020,1,1,25,1750
3/14/2020,1,1,15,1050
3/15/2020,1,1,20,1400
3/16/2020,1,1,13,910
3/17/2020,1,1,15,1050
3/18/2020,1,1,16,1120
3/19/2020,1,1,17,1190
3/20/2020,1,1,31,2170
3/21/2020,1,1,25,1750
3/22/2020,1,1,23,1610
3/23/2020,1,1,16,1120
3/24/2020,1,1,18,1260
3/25/2020,1,1,13,910
3/26/2020,1,1,10,700
3/27/2020,1,1,16,1120
3/28/2020,1,1,12,840
3/29/2020,1,1,25,1750
3/30/2020,1,1,19,1330
3/31/2020,1,1,18,1260
4/1/2020,1,1,24,1680
4/2/2020,1,1,20,1400
4/3/2020,1,1,27,1890
4/4/2020,1,1,26,1820
4/5/2020,1,1,20,1400
4/6/2020,1,1,20,1400
4/7/2020,1,1,19,1330
4/8/2020,1,1,17,1190
4/9/2020,1,1,20,1400
4/10/2020,1,1,24,1680
4/11/2020,1,1,17,1190
4/12/2020,1,1,21,1470
4/13/2020,1,1,14,980
4/14/2020,1,1,26,1820
4/15/2020,1,1,26,1820
4/16/2020,1,1,20,1400
4/17/2020,1,1,22,1540
4/18/2020,1,1,23,1610
4/19/2020,1,1,24,1680
4/20/2020,1,1,17,1190
4/21/2020,1,1,25,1750
4/22/2020,1,1,19,1330
4/23/2020,1,1,17,1190
4/24/2020,1,1,11,770
4/25/2020,1,1,29,2030
4/26/2020,1,1,30,2100
4/27/2020,1,1,22,1540
4/28/2020,1,1,27,1890
4/29/2020,1,1,18,1260
4/30/2020,1,1,27,1890
5/1/2020,1,1,20,1400
5/2/2020,1,1,22,1540
5/3/2020,1,1,33,2310
5/4/2020,1,1,14,980
5/5/2020,1,1,25,1750
5/6/2020,1,1,13,910
5/7/2020,1,1,23,1610
5/8/2020,1,1,22,1540
5/9/2020,1,1,29,2030
5/10/2020,1,1,29,2030
5/11/2020,1,1,24,1680
5/12/2020,1,1,21,1470
5/13/2020,1,1,14,980
5/14/2020,1,1,17,1190
5/15/2020,1,1,27,1890
5/16/2020,1,1,31,2170
5/17/2020,1,1,27,1890
5/18/2020,1,1,11,770
5/19/2020,1,1,28,1960
5/20/2020,1,1,17,1190
5/21/2020,1,1,27,1890
5/22/2020,1,1,22,1540
5/23/2020,1,1,24,1680
5/24/2020,1,1,27,1890
5/25/2020,1,1,19,1330
5/26/2020,1,1,19,1330
5/27/2020,1,1,22,1540
5/28/2020,1,1,23,1610
5/29/2020,1,1,18,1260
5/30/2020,1,1,36,2520
5/31/2020,1,1,27,1890
6/1/2020,1,1,23,1610
6/2/2020,1,1,15,1050
6/3/2020,1,1,23,1610
6/4/2020,1,1,25,1750
6/5/2020,1,1,18,1260
6/6/2020,1,1,43,3010
6/7/2020,1,1,22,1540
6/8/2020,1,1,18,1260
6/9/2020,1,1,19,1330
